id,title,release_date,year,runtime,genres,rated,country,actors,director,writers,awards,box_office,ratings
tt0077703,Whiplash,05 Jul 1974,1974,90,Action,N/A,"Hong Kong, Taiwan","Pei-Pei Cheng, Yuan Yi, Ying Ku, Hao Chen",Shan-Hsi Ting,Shan-Hsi Ting,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]"
tt0077724,Image of Bruce Lee,31 Aug 1978,1978,91,Action,R,Hong Kong,"Bruce Li, Dana, John Cheung, Lei Chang",Kuen Yeung,"Shao-Kuan Wen, Shao-Kuan Wen, Kuen Yeung",N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}]"
tt0077770,Avenging Warriors of Shaolin,24 Mar 1979,1979,110,"Action,Comedy",PG-13,Hong Kong,"Jason Piao Pai, Feng Lu, Meng Lo, Phillip Chung-Fung Kwok",Cheh Chang,"Cheh Chang, Kuang Ni, Nai Pin Tsai",N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]"
tt0077778,Joyride to Nowhere,01 Jun 1977,1977,86,"Action,Crime",PG,USA,"Leslie Ackerman, Sandy Alan, Len Lesser, Mel Welles","Mel Welles, Ronald C. Ross","George 'Buck' Flower, John F. Goff, Ronald C. Ross, Mel Welles",N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '4.1/10'}]"
tt0077822,Kung Fu Master Named Drunk Cat,01 Dec 1978,1978,83,Action,N/A,"Hong Kong, Taiwan","Yu An An, Hung-Yi Chang, John Cheung, Wah Cheung",Sum Cheung,Sum Cheung,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]"
tt0077826,Spy Ring Kokuryukai,N/A,1976,97,"Action,Drama",N/A,Taiwan,"Ling Chia, Yi Chang, Sihung Lung, Ai-hua Chao",Shan-Hsi Ting,Shan-Hsi Ting (screenplay),N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]"
tt0077829,Lang tzu yi chao,30 Nov 1978,1978,90,"Action,Adventure",N/A,"Hong Kong, Taiwan","Sing Chen, Angela Mao, Kong Chu, Carter Wong",Feng Huang,Lung Ku,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]"
tt0077831,"Dirty Tiger, Crazy Frog",N/A,1978,97,"Action,Comedy,Drama",N/A,Hong Kong,"Meg Lam, Jason Pai Piao, Yuet Sang Chin, Fat Chung",Karl Maka,"Karl Maka, Eric Tsang",N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]"
tt0077836,Long jia jiang,19 Feb 1976,1976,90,"Action,Crime,Drama",R,Hong Kong,"Kien Shih, Shan Kwan, Lik Cheung, Shi-Kwan Yen",Hao Chen,Hao Chen,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '4.3/10'}]"
tt0077850,"Bruce Lee: The Man, the Myth",28 Oct 1976,1976,90,"Action,Adventure,Biography",R,Hong Kong,"David Chow, Kuei Chang, Chi-Min Chin, Little Unicorn",See-Yuen Ng,See-Yuen Ng (screenplay),N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}]"
