,id,title,release_date,year,runtime,genres,rated,countries,actors,directors,writers,awards,box_office,ratings
1747,tt0214832,Kalicharan,07 Feb 1976,1976,143,"['Action', 'Adventure', 'Crime']",,['India'],"['Shatrughan Sinha', ' Reena Roy', ' Ajit', ' Prem Nath']",['Subhash Ghai'],['nan'],,,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]"
1748,tt0215898,Khaan Dost,23 Mar 1976,1976,157,"['Action', 'Crime', 'Drama']",,['India'],"['Raj Kapoor', ' Shatrughan Sinha', ' Mithu Mukherjee', ' Yogeeta Bali']",['Dulal Guha'],"['Bharat B. Bhalla (story)', ' Subhash Ghai (story)', ' Nabendu Ghosh (screenplay)', ' Jainendra Jain (dialogue)']",,,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}]"
1749,tt0216312,Invasion: UFO,,1974,86,"['Action', 'Drama', 'Sci-Fi']",Not Rated,['UK'],"['Ed Bishop', ' Michael Billington', ' Gabrielle Drake', ' Wanda Ventham']","['Gerry Anderson', ' Tomblin Summers Frankel']","['Gerry Anderson (creator)', ' David Tomblin']",,,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]"
1750,tt0216313,UFO... annientare S.H.A.D.O. stop. Uccidete Straker...,,1974,86,"['Action', 'Sci-Fi', 'Thriller']",,"['Italy', ' UK']","['Ed Bishop', ' George Sewell', ' Michael Billington', ' Peter Gordeno']","['David Lane', ' Alan Perry']",['Gerry Anderson (characters)'],,,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]"
1751,tt0216315,UFO: Distruggete Base Luna,,1974,90,"['Action', 'Sci-Fi']",,"['Italy', ' UK']","['Ed Bishop', ' Dolores Mantez', ' Michael Billington', ' George Sewell']","['David Lane', ' Ken Turner', ' Laxie Turner']",['nan'],,,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]"
1752,tt0216399,Wanted Sabata,01 Dec 1970,1970,88,"['Action', 'Thriller', 'Western']",,['Italy'],"['Brad Harris', ' Vassili Karis', ' Elena Pedemonte', ' Paolo Magalotti']",['Roberto Mauri'],"['Roberto Mauri', ' Ambrogio Molteni']",,,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}]"
1753,tt0216546,Django and Sartana Are Coming... It's the End,14 Nov 1970,1970,90,"['Action', 'Drama', 'Western']",,['Italy'],"['Jack Betts', ' Franco Borelli', ' Gordon Mitchell', ' Simonetta Vitelli']","['Demofilo Fidani', ' Diego Spataro']","['Demofilo Fidani (original story & screenplay)', ' Mila Vitelli Valenza (screenplay)']",,,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}]"
1754,tt0216797,The Dawn of Victory,20 Sep 1971,1971,91,"['Action', 'Adventure', 'Drama']",,['Greece'],"['Lakis Komninos', ' Betty Arvaniti', ' Miranda Kounelaki', ' Nikos Dadinopoulos']",['Dimis Dadiras'],['Giorgos Lazaridis'],1 win.,,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]"
1755,tt0217662,La montaña del diablo,02 Oct 1975,1975,89,"['Action', 'Drama', 'Fantasy']",,['Mexico'],"['Jorge Rivero', ' Ernesto Yáñez', ' Carmen Vicarte', ' Miguel Gurza']","['Juan Andrés Bueno', ' Javier Durán']",['Juan Andrés Bueno'],,,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}]"
1756,tt0218412,Longitud de guerra,21 Dec 1976,1976,142,"['Action', 'Drama', 'Thriller']",,['Mexico'],"['Bruno Rey', ' Narciso Busquets', ' Pedro Armendáriz Jr.', ' Aarón Hernán']",['Gonzalo Martínez Ortega'],"['Heriberto Frias (novel)', ' Gonzalo Martínez Ortega']",3 nominations.,,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}]"
