,tconst,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes
253,tt0068734,The Immoral Three,1975,74,Action,4.4,120
254,tt0068742,Innocent Bystanders,1972,111,"Action,Adventure,Crime",5.9,226
255,tt0068743,L'insolent,1973,90,Action,5.3,90
256,tt0068744,Intimate Confessions of a Chinese Courtesan,1972,97,"Action,Drama",7.2,603
257,tt0068752,J.C.,1972,99,"Action,Adventure,Drama",4.6,67
258,tt0068763,The Jerusalem File,1972,95,"Action,Drama,Thriller",5.8,50
259,tt0068766,Jin xuan feng,1972,86,"Action,Adventure",6.4,21
260,tt0068767,Fist of Fury,1972,106,"Action,Drama,Romance",7.4,24655
261,tt0068801,Kill! Kill! Kill! Kill!,1971,113,"Action,Crime,Drama",5.3,228
262,tt0068803,Sacred Knives of Vengeance,1972,94,"Action,Adventure,Crime",7.1,59
263,tt0068812,The Commander of the Lucky Pike,1973,101,"Action,War",6.8,87
264,tt0068815,Lone Wolf and Cub: Sword of Vengeance,1972,84,"Action,Adventure",7.8,6500
265,tt0068816,Lone Wolf and Cub: Baby Cart at the River Styx,1972,82,"Action,Adventure,Drama",8.0,5028
266,tt0068817,Lone Wolf and Cub: Baby Cart to Hades,1972,89,"Action,Drama",7.6,4102
267,tt0068821,The Delightful Forest,1972,93,"Action,Adventure",6.7,254
268,tt0068861,The Limit,1972,90,"Action,Crime,Drama",7.8,16
269,tt0068873,The Loners,1972,79,"Action,Drama",4.5,48
270,tt0068874,The Bold Brothers,1972,87,"Action,Drama",6.6,14
271,tt0068892,The Police Connection,1973,91,"Action,Crime,Drama",5.7,488
272,tt0068897,The Magnificent Seven Ride!,1972,100,"Action,Western",5.7,2401
273,tt0068902,The Italian Connection,1972,95,"Action,Crime,Thriller",7.2,1834
274,tt0068904,Stoner,1974,107,"Action,Thriller",5.6,147
275,tt0068928,La maudite galette,1972,100,"Action,Comedy,Crime",6.5,214
276,tt0068931,The Mechanic,1972,100,"Action,Crime,Thriller",6.9,11894
277,tt0068934,Melinda,1972,109,"Action,Crime,Drama",6.1,164
278,tt0068935,The Way of the Dragon,1972,99,"Action,Adventure,Crime",7.3,30321
279,tt0068938,Mere Jeevan Saathi,1972,142,"Action,Adventure,Drama",6.9,157
280,tt0068954,Shanghai Joe,1973,98,"Action,Drama,Western",5.8,787
281,tt0068964,The Great Treasure Hunt,1972,95,"Action,Comedy,Thriller",5.3,35
282,tt0068997,The New Centurions,1972,103,"Action,Crime,Drama",7.0,2151
283,tt0069013,No Way Out,1973,95,"Action,Crime,Drama",6.8,1109
284,tt0069022,Northeast of Seoul,1974,84,"Action,Adventure,Thriller",4.8,30
285,tt0069057,Pancho Villa,1972,92,"Action,Biography,Comedy",4.8,527
286,tt0069083,"Pete, Pearl & the Pole",1973,90,"Action,Crime,Drama",5.4,51
287,tt0069091,Piranha,1972,90,"Action,Adventure,Drama",2.6,558
288,tt0069095,All the Way Boys,1972,120,"Action,Adventure,Comedy",6.8,5929
289,tt0069113,The Poseidon Adventure,1972,117,"Action,Adventure,Drama",7.1,39328
290,tt0069121,Prime Cut,1972,88,"Action,Crime,Drama",6.8,4305
291,tt0069132,Pulapka,1971,98,Action,5.4,9
292,tt0069167,"The Red, White, and Black",1970,103,"Action,Romance,Western",5.2,57
293,tt0069248,Senza ragione,1973,89,"Action,Crime,Drama",5.1,265
294,tt0069257,Shaft's Big Score!,1972,104,"Action,Crime,Drama",6.0,2500
295,tt0069265,The Water Margin,1972,125,"Action,Drama",6.7,606
296,tt0069273,Sitting Target,1972,93,"Action,Crime,Drama",6.5,1138
297,tt0069278,Skyjacked,1972,101,"Action,Drama,Thriller",5.7,1608
298,tt0069279,Slaughter,1972,92,"Action,Crime,Drama",6.0,846
299,tt0069332,Super Fly,1972,91,"Action,Crime,Drama",6.5,6168
300,tt0069336,Sweet Sugar,1972,90,"Action,Drama",5.2,496
301,tt0069352,Sting of the West,1972,99,"Action,Comedy,Western",4.6,129
302,tt0069358,Ecstasy of the Angels,1972,89,"Action,Drama,Mystery",6.7,873
303,tt0069380,Deep Thrust,1972,88,"Action,Drama",6.2,158
304,tt0069408,Trilogy of Swordsmanship,1972,108,"Action,Drama",6.5,85
305,tt0069414,Trouble Man,1972,99,"Action,Crime,Drama",6.8,904
306,tt0069437,Fifteen Year Old Captain,1974,88,"Action,Adventure",5.8,56
307,tt0069444,The Unholy Rollers,1972,88,"Action,Comedy,Drama",5.6,466
308,tt0069445,Fist of Unicorn,1973,93,"Action,Drama",6.6,452
309,tt0069446,The Master Touch,1972,112,"Action,Crime,Drama",6.1,509
310,tt0069452,Walter Defends Sarajevo,1972,133,"Action,War",8.2,2181
311,tt0069457,Summertime Killer,1972,110,"Action,Crime,Drama",6.2,300
312,tt0069509,The Woman Hunt,1972,81,"Action,Adventure,Drama",4.9,133
313,tt0069518,The New One-Armed Swordsman,1971,98,"Action,Drama",7.2,1233
314,tt0069522,Yeh Gulistan Hamara,1972,134,"Action,Drama",6.7,25
315,tt0069534,Zameen Aasmaan,1972,134,"Action,Crime,Drama",5.9,12
316,tt0069540,The Deadly Duo,1971,94,"Action,Drama",6.7,414
317,tt0069697,"Watch Out, We're Mad",1974,102,"Action,Comedy",7.5,10282
318,tt0069700,Battle of the Amazons,1973,100,"Action,Fantasy",4.7,178
319,tt0069702,Ambush,1973,97,"Action,Adventure",6.7,96
320,tt0069713,Even Angels Eat Beans,1973,118,"Action,Comedy,Crime",6.4,2526
321,tt0069729,The Arena,1974,90,"Action,Adventure",5.3,1234
322,tt0069748,Babusca's Adventures,1973,76,"Action,Adventure,Crime",7.2,59
323,tt0069751,Tied Hands,1973,139,"Action,Thriller",6.1,86
324,tt0069759,Bada Kabutar,1973,144,"Action,Comedy,Crime",5.1,20
325,tt0069768,Battle for the Planet of the Apes,1973,93,"Action,Sci-Fi",5.5,27837
326,tt0069783,Beyond Atlantis,1973,91,"Action,Adventure,Fantasy",4.5,305
327,tt0069784,The Big Bust-Out,1972,92,"Action,Thriller",4.6,137
328,tt0069785,Big Zapper,1973,92,"Action,Adventure,Crime",5.4,120
329,tt0069789,The Black Alley Cats,1973,81,"Action,Crime,Drama",5.7,88
330,tt0069791,The Black Bunch,1972,82,"Action,Drama",5.1,29
331,tt0069792,Black Caesar,1973,87,"Action,Crime,Drama",6.5,2867
332,tt0069800,The Blazing Ninja,1973,77,"Action,Adventure,Drama",4.6,36
333,tt0069818,The Boss,1973,100,"Action,Crime,Thriller",7.0,1509
334,tt0069833,Chino,1973,98,"Action,Adventure,Drama",6.0,1649
335,tt0069865,Charley Varrick,1973,111,"Action,Crime,Drama",7.5,10374
336,tt0069880,Chyornyy kapitan,1973,90,"Action,Adventure,War",6.2,9
337,tt0069881,Dynasty of Blood,1973,118,"Action,Drama",6.7,640
338,tt0069890,Cleopatra Jones,1973,89,"Action,Crime,Thriller",5.9,2505
339,tt0069895,The Crazies,1973,103,"Action,Horror,Sci-Fi",6.1,10591
340,tt0069897,Coffy,1973,90,"Action,Crime,Thriller",6.8,9298
341,tt0069909,Un comisar acuzã,1974,114,"Action,Crime,Drama",7.6,882
342,tt0069912,Le complot,1973,120,"Action,Drama,History",6.1,105
343,tt0069938,The Iron Bodyguard,1973,94,"Action,Adventure",6.2,108
344,tt0069959,The Delinquent,1973,101,"Action,Drama",6.4,117
345,tt0069966,Detroit 9000,1973,106,"Action,Crime,Drama",6.4,907
346,tt0069968,The Devil and Leroy Bassett,1973,85,"Action,Drama",4.0,57
347,tt0069976,Dillinger,1973,107,"Action,Biography,Crime",7.0,4464
348,tt0069986,The Doll Squad,1973,92,"Action,Adventure,Sci-Fi",4.1,701
349,tt0069989,The Don Is Dead,1973,115,"Action,Crime,Drama",6.1,959
350,tt0070010,Dva dnya trevogi,1974,88,"Action,History,War",5.7,7
351,tt0070017,Not Scared to Die,1973,87,"Action,Drama,War",4.5,620
352,tt0070030,Emperor of the North,1973,118,"Action,Adventure,Drama",7.3,5426
353,tt0070034,Enter the Dragon,1973,102,"Action,Crime,Drama",7.7,92529
354,tt0070051,Kung Fu Invaders,1974,93,"Action,Drama,History",6.5,428
355,tt0070083,The Outside Man,1972,104,"Action,Crime,Drama",6.5,778
356,tt0070085,Sex & Fury,1973,88,"Action,Crime,Drama",6.7,2896
357,tt0070091,The Gatling Gun,1971,93,"Action,Drama,Western",5.0,295
358,tt0070097,Deep Trap,1973,147,"Action,Crime,Thriller",5.4,114
359,tt0070122,Godzilla vs. Megalon,1973,81,"Action,Adventure,Family",4.8,4673
360,tt0070139,I guappi,1974,130,"Action,Crime,Drama",6.8,258
361,tt0070140,Le guerriere dal seno nudo,1973,105,"Action,Adventure,Drama",4.8,300
362,tt0070142,Guns of a Stranger,1973,91,"Action,Music,Western",4.3,73
363,tt0070146,Hai yuan chi hao,1973,100,Action,6.8,15
364,tt0070167,The Black Panther,1973,79,"Action,Drama",6.3,27
365,tt0070168,The Devil's Treasure,1973,96,Action,6.7,23
366,tt0070169,Hell Up in Harlem,1973,94,"Action,Crime,Drama",6.1,1203
367,tt0070181,Hissatsu shikakenin,1973,87,"Action,Crime",7.4,19
368,tt0070183,Hit!,1973,134,"Action,Drama",6.1,418
369,tt0070200,The Master of Kung Fu,1973,93,"Action,Drama",6.0,82
370,tt0070205,I Escaped from Devil's Island,1973,89,"Action,Adventure",5.1,334
371,tt0070243,Police Force,1973,107,"Action,Crime",6.6,48
372,tt0070244,Proxy War,1973,119,"Action,Drama",7.4,1022
373,tt0070245,Hiroshima Death Match,1973,100,"Action,Crime,Drama",7.6,1231
374,tt0070253,Jugnu,1973,149,"Action,Drama,Thriller",6.5,167
375,tt0070274,The Kiss of Death,1973,99,"Action,Crime,Drama",6.8,142
376,tt0070279,Ku Fu? From Sicily with Fury,1973,93,"Action,Comedy",6.4,134
377,tt0070297,The Legend of the 7 Golden Vampires,1974,89,"Action,Horror",5.9,3596
378,tt0070301,A Man Called Tiger,1973,76,"Action,Adventure",6.9,61
379,tt0070307,"Robin Hood, Arrows, Beans and Karate",1973,92,"Action,Adventure,Comedy",4.5,61
380,tt0070328,Live and Let Die,1973,121,"Action,Adventure,Thriller",6.8,92348
381,tt0070332,Lolly-Madonna XXX,1973,103,"Action,Crime,Drama",6.5,510
382,tt0070335,Long hu jin hu,1973,94,"Action,Drama",5.5,31
383,tt0070348,Ma lu xiao ying xiong,1973,122,"Action,Comedy,Drama",6.7,34
384,tt0070354,The Man from Acapulco,1973,95,"Action,Comedy,Fantasy",7.3,4238
385,tt0070355,Magnum Force,1973,124,"Action,Crime,Mystery",7.2,53607
386,tt0070356,Now Where Did the Seventh Company Get to?,1973,95,"Action,Comedy,War",6.9,1744
387,tt0070400,Mo gui tian shi,1973,80,"Action,Crime,Drama",5.0,37
388,tt0070427,Das Mädchen von Hongkong,1973,94,"Action,Adventure",5.6,66
389,tt0070429,Na krawedzi,1973,89,Action,5.1,7
390,tt0070438,The Neptune Factor,1973,98,"Action,Adventure,Drama",4.5,813
391,tt0070448,The Kyoto Connection,1973,72,"Action,Drama",4.8,245
392,tt0070523,Peng you,1974,104,"Action,Drama",7.4,48
